id;parent;alternativeParents;prereq;alternativeName;name;nameMenu;title;description;ogimage;url;urlShortcut;comicStrip;specs;image;visible;ordering
398;392;350;;;Obvod kruhu, délka kružnice;;;;;cviceni-obvod-kruznice;GG7;;;;1;5
399;392;350;;;Délka oblouku;;;;;cviceni-delka-oblouku;GG9;;;;1;6
400;61;409;;;Obsah trojúhelníku (na mřížce);;;;;cviceni-obsah-trojuhelnik-mrizka;GHA;;;;1;2
401;61;347;;;Obsah čtverce a obdélníku (na mřížce);;;;;cviceni-obsah-obdelnik-mrizka;GHB;;;;1;1
402;61;348;;;Obsah rovnoběžníku (na mřížce);;;;;cviceni-obsah-rovnobeznik-mrizka;GHC;;;;1;3
403;61;349;;;Obsah lichoběžníku (na mřížce);;;;;cviceni-obsah-lichobeznik-mrizka;GHD;;;;1;4
404;61;;;;Obsah na mřížce: mix;;;;;cviceni-obsah-mrizka-mix;GHE;;;;1;7
405;61;350;;;Obsah kruhu (na mřížce);;;;;cviceni-obsah-kruh-mrizka;GHF;;;;1;5
406;61;350;;;Obsah kruhové výseče (na mřížce);;;;;cviceni-obsah-kruh-vysec-mrizka;GHG;;;;1;6
407;62;350;;;Obvod kruhu, délka kružnice (na mřížce);;;;;cviceni-obvod-kruznice-mrizka;GHH;;;;1;5
408;346;;;;Trojúhelník: mix;;;;;cviceni-trojuhelnik-mix;GHJ;;;;1;8
409;346;;;;Obvod a obsah trojúhelníku;;;;;cviceni-trojuhelnik-obvod-obsah;GHK;;;;1;2
410;314;;;;Souřadnice bodů v rovině;;;;;cviceni-souradnice-v-rovine;GJL;;;;1;0
411;314;;;;Souřadnice bodů v prostoru;;;;;cviceni-souradnice-v-prostoru;GJP;;;;1;0
412;314;;;;Vzdálenost bodů v rovině;;;;;cviceni-vzdalenost-bodu-v-rovine;GJW;;;;1;0
413;314;;;;Vzdálenost bodů v prostoru;;;;;cviceni-vzdalenost-bodu-v-prostoru;GJX;;;;1;0
414;283;;;;Vektory;;;;;cviceni-vektory;GJZ;;;;1;3
415;414;;;;Velikost vektoru;;;;;cviceni-velikost-vektoru;GJ1;;;;1;3
416;414;;;;Vzájemná poloha vektorů;;;;;cviceni-vektory-vzajemna-poloha;GJ2;;;;1;4
417;284;;;;Vektory: násobení konstantou, součet, rozdíl;;;Násobení vektoru konstantou, sčítání a odčítání vektorů.;;cviceni-vektory-nasobeni-konstantou-soucet-rozdil;GKB;;;;1;0
418;284;;;;Vektory: skalární součin;;;;;cviceni-vektory-skalarni-soucin;GKC;;;;1;0
419;414;;;;Souřadnice vektoru;;;;;cviceni-vektory-souradnice;GKG;;;;1;2
420;21;;;;Násobilka čísla 2;;;;;cviceni-nasobilka-2;GLC;;;;1;0
421;21;;;;Násobilka čísla 3;;;;;cviceni-nasobilka-3;GLD;;;;1;0
422;21;;;;Násobilka čísla 4;;;;;cviceni-nasobilka-4;GLE;;;;1;0
423;21;;;;Násobilka čísla 5;;;;;cviceni-nasobilka-5;GLF;;;;1;0
424;21;;;;Násobilka čísla 6;;;;;cviceni-nasobilka-6;GLG;;;;1;0
425;21;;;;Násobilka čísla 7;;;;;cviceni-nasobilka-7;GLH;;;;1;0
426;21;;;;Násobilka čísla 8;;;;;cviceni-nasobilka-8;GLJ;;;;1;0
427;21;;;;Násobilka čísla 9;;;;;cviceni-nasobilka-9;GLK;;;;1;0
428;21;;;;Násobilka čísla 10;;;;;cviceni-nasobilka-10;GLL;;;;1;0
429;21;;;;Tabulka malé násobilky;;;;;cviceni-tabulka-mala-nasobilka;GLM;;;;1;0
430;298;;;;Délka úsečky v rovině;;;;;cviceni-delka-usecky-v-rovine;GMC;;;;1;0
431;298;;;;Délka úsečky v prostoru;;;;;cviceni-delka-usecky-v-prostoru;GMD;;;;1;0
432;298;;;;Vzájemná poloha úseček v rovině;;;;;cviceni-vzajemna-poloha-usecek-v-rovine;GME;;;;1;0
433;298;;;;Vzájemná poloha úseček v prostoru;;;;;cviceni-vzajemna-poloha-usecek-v-prostoru;GMF;;;;1;0
434;298;;;;Střed úsečky v rovině;;;;;cviceni-stred-usecky-v-rovine;GMG;;;;1;0
435;298;;;;Střed úsečky v prostoru;;;;;cviceni-stred-usecky-v-prostoru;GMH;;;;1;0
436;285;;;;Parametrická rovnice přímky v rovině;;;;;cviceni-parametricka-rovnice-primky-v-rovine;GMP;;;;1;0
437;285;;;;Obecná rovnice přímky v rovině;;;;;cviceni-obecna-rovnice-primky-v-rovine;GMR;;;;1;0
438;285;;;;Vzájemná poloha přímek v rovině;;;;;cviceni-vzjemna-poloha-primek-v-rovine;GMS;;;;1;0
439;285;;;;Vzájemná poloha přímky a bodu v rovině;;;;;cviceni-vzajemna-poloha-primky-a-bodu-v-rovine;GMT;;;;1;0
