id;parent;type;name;shortName;shortcut;explanation;specs;aggregationType
860;335;binaryChoice;;;bc-porovnavani-vysledku-do-100;;;basic
862;336;binaryChoice;;;bc-konstrukce-trojuhelniku-zname-strany;;;basic
863;207;binaryChoice;;;bc-trojuhelnikova-nerovnost;;;basic
864;364;binaryChoice;;;bc-obsah-ctverce-obdelniky;;;basic
865;366;binaryChoice;;;bc-obsah-rovnobezniky;;;basic
866;361;binaryChoice;;;bc-obsah-trojuhelniky;;;basic
867;144;binaryChoice;;;bc-obsah-trojuhelniky-ctyruhelniky-nuhelniky-mix;;{"rs": ["bc-obsah-ctverce-obdelniky","bc-obsah-rovnobezniky","bc-obsah-trojuhelniky","bc-obsah-lichobezniky"]};mix
868;368;binaryChoice;;;bc-obsah-lichobezniky;;;basic
869;364;writtenAnswer;;;wa-obsah-obdelnik-ctverec;;;basic
870;368;writtenAnswer;;;wa-obsah-lichobeznik;;;basic
871;366;writtenAnswer;;;wa-obsah-rovnobeznik;;;basic
872;362;binaryChoice;;;bc-obvod-trojuhelniky;;;basic
873;363;binaryChoice;;;bc-obvod-ctverce-obdelniky;;;basic
874;365;binaryChoice;;;bc-obvod-rovnobezniky;;;basic
875;367;binaryChoice;;;bc-obvod-lichobezniky;;;basic
876;344;binaryChoice;;;bc-poznavani-uhlu-radiany;;;basic
877;360;binaryChoice;;;bc-delka-oblouku;;;basic
878;363;writtenAnswer;;;wa-obvod-obdelnik-ctverec;;;basic
879;362;writtenAnswer;;;wa-obvod-trojuhelniky;;;basic
880;365;writtenAnswer;;;wa-obvod-rovnobeznik;;;basic
881;367;writtenAnswer;;;wa-obvod-lichobeznik;;;basic
882;370;writtenAnswer;;;wa-objem-krychle-kvadr;;;basic
883;370;binaryChoice;;;bc-objem-krychle-kvadr;;;basic
884;372;binaryChoice;;;bc-objem-hranol;;;basic
885;372;writtenAnswer;;;wa-objem-hranol;;;basic
886;360;writtenAnswer;;;wa-delka-oblouku;;;basic
888;145;binaryChoice;;;bc-obvod-pravidelne-nuhelniky;;;basic
889;145;binaryChoice;;;bc-obvod-obecne-ctyruhelniky;;;basic
890;374;writtenAnswer;;;wa-objem-jehlan;;;basic
891;374;binaryChoice;;;bc-objem-jehlan;;;basic
892;265;binaryChoice;;;bc-povrch-kulate-mix;;{    "rs": [        "bc-povrch-koule",        "bc-povrch-valec"    ]};mix
893;371;binaryChoice;;;bc-povrch-krychle-kvadr;;;basic
894;373;binaryChoice;;;bc-povrch-hranol;;;basic
895;375;binaryChoice;;;bc-povrch-jehlan;;;basic
896;371;writtenAnswer;;;wa-povrch-krychle-kvadr;;;basic
897;373;writtenAnswer;;;wa-povrch-hranol;;;basic
898;375;writtenAnswer;;;wa-povrch-jehlan;;;basic
899;146;binaryChoice;;;bc-obsah-kruh;;;basic
900;360;binaryChoice;;;bc-obsah-vysec;;;basic
901;146;binaryChoice;;;bc-obvod-kruh-kruznice;;;basic
902;146;writtenAnswer;;;wa-obsah-kruh;;;basic
903;360;writtenAnswer;;;wa-obsah-vysec;;;basic
904;146;writtenAnswer;;;wa-obvod-kruh-kruznice;;;basic
905;145;writtenAnswer;;;wa-obvod-obecny-ctyruhelnik;;;basic
906;380;writtenAnswer;;;wa-objem-koule;;;basic
907;380;binaryChoice;;;bc-objem-koule;;;basic
908;380;binaryChoice;;;bc-objem-koule-principy;;;basic
909;378;binaryChoice;;;bc-objem-kuzel;;;basic
910;376;binaryChoice;;;bc-objem-valec;;;basic
911;376;writtenAnswer;;;wa-objem-valec;;;basic
912;378;writtenAnswer;;;wa-objem-kuzel;;;basic
913;370;binaryChoice;;;bc-objem-krychle-kvadr-principy;;;basic
914;372;binaryChoice;;;bc-objem-hranol-principy;;;basic
915;374;binaryChoice;;;bc-objem-jehlan-principy;;;basic
916;376;binaryChoice;;;bc-objem-valec-principy;;;basic
917;378;binaryChoice;;;bc-objem-kuzel-principy;;;basic
918;371;binaryChoice;;;bc-povrch-krychle-kvadr-principy;;;basic
919;373;binaryChoice;;;bc-povrch-hranol-principy;;;basic
920;375;binaryChoice;;;bc-povrch-jehlan-principy;;;basic
921;381;binaryChoice;;;bc-povrch-koule-principy;;;basic
922;377;binaryChoice;;;bc-povrch-valec-principy;;;basic
923;379;binaryChoice;;;bc-povrch-kuzel-principy;;;basic
924;381;binaryChoice;;;bc-povrch-koule;;;basic
925;377;binaryChoice;;;bc-povrch-valec;;;basic
926;379;binaryChoice;;;bc-povrch-kuzel;;;basic
927;381;writtenAnswer;;;wa-povrch-koule;;;basic
928;377;writtenAnswer;;;wa-povrch-valec;;;basic
929;379;writtenAnswer;;;wa-povrch-kuzel;;;basic
930;401;binaryChoice;;;bc-obsah-ctverce-obdelniky-mrizka;;;basic
931;401;writtenAnswer;;;wa-obsah-obdelnik-ctverec-mrizka;;;basic
932;397;writtenAnswer;;;wa-obvod-obdelnik-ctverec-mrizka;;;basic
933;400;writtenAnswer;;;wa-obsah-trojuhelniky-mrizka;;;basic
934;403;writtenAnswer;;;wa-obsah-lichobeznik-mrizka;;;basic
935;402;writtenAnswer;;;wa-obsah-rovnobeznik-mrizka;;;basic
936;400;binaryChoice;;;bc-obsah-trojuhelniky-mrizka;;;basic
937;403;binaryChoice;;;bc-obsah-lichobezniky-mrizka;;;basic
938;402;binaryChoice;;;bc-obsah-rovnobezniky-mrizka;;;basic
939;396;writtenAnswer;;;wa-obvod-trojuhelniky-mrizka;;;basic
940;367;writtenAnswer;;;wa-obvod-lichobeznik-mrizka;;;basic
941;365;writtenAnswer;;;wa-obvod-rovnobeznik-mrizka;;;basic
942;406;binaryChoice;;;bc-obsah-vysec-mrizka;;;basic
943;405;binaryChoice;;;bc-obsah-kruh-mrizka;;;basic
944;350;binaryChoice;;;bc-kruh-pojmy-mrizka;;;basic
945;146;binaryChoice;;;bc-obvod-kruh-kruznice-mrizka;;;basic
946;146;writtenAnswer;;;wa-obsah-kruh-mrizka;;;basic
947;145;binaryChoice;;;bc-obvod-ctverec-obdelnik-trojuhelnik-mix;;{    "rs": [        "bc-obvod-ctverce-obdelniky",        "bc-obvod-trojuhelniky"    ]};mix
948;145;binaryChoice;;;bc-obvod-rovnobeznik-lichobeznik-obecny-ctyruhelnik-mix;;{    "rs": [        "bc-obvod-rovnobezniky",        "bc-obvod-lichobezniky",        "bc-obvod-obecne-ctyruhelniky"    ]};mix
949;146;writtenAnswer;;;wa-obvod-kruh-kruznice-mrizka;;;basic
950;406;writtenAnswer;;;wa-obsah-vysec-mrizka;;;basic
951;360;writtenAnswer;;;wa-delka-oblouk-mrizka;;;basic
952;145;writtenAnswer;;;wa-obvod-ctverec-obdelnik-trojuhelnik-mix;;{    "rs": [        "wa-obvod-trojuhelniky",        "wa-obvod-obdelnik-ctverec"    ]};mix
953;145;writtenAnswer;;;wa-obvod-rovnobeznik-lichobeznik-obecny-ctyruhelnik-mix;;{    "rs": [        "wa-obvod-lichobeznik",        "wa-obvod-rovnobeznik",        "wa-obvod-obecny-ctyruhelnik"    ]};mix
954;395;writtenAnswer;;;wa-obvod-ctverec-obdelnik-trojuhelnik-mrizka-mix;;{    "rs": [        "wa-obvod-obdelnik-ctverec-mrizka",        "wa-obvod-trojuhelniky-mrizka"    ]};mix
955;144;binaryChoice;;;bc-obsah-trojuhelniky-rovnobezniky-lichobezniky-mrizka-mix;;{    "rs": [        "bc-obsah-trojuhelniky-mrizka",        "bc-obsah-rovnobezniky-mrizka",        "bc-obsah-lichobezniky-mrizka"    ]};mix
956;144;binaryChoice;;;bc-obsah-trojuhelniky-rovnobezniky-lichobezniky-mix;;{    "rs": [        "bc-obsah-trojuhelniky",        "bc-obsah-rovnobezniky",        "bc-obsah-lichobezniky"    ]};mix
957;144;writtenAnswer;;;wa-obsah-trojuhelnik-lichobeznik-rovnobeznik-mix;;{    "rs": [        "wa-obsah-trojuhelniky",        "wa-obsah-lichobeznik",        "wa-obsah-rovnobeznik"    ]};mix
958;144;binaryChoice;;;bc-obsah-trojuhelniky-ctyruhelniky-mix;;{    "rs": [        "bc-obsah-ctverce-obdelniky",        "bc-obsah-rovnobezniky",        "bc-obsah-trojuhelniky",        "bc-obsah-lichobezniky"    ]};mix
959;146;binaryChoice;;;bc-obsah-obvod-kulate-mix;;{    "rs": [        "bc-obsah-vysec",        "bc-delka-oblouku",        "bc-obsah-kruh",        "bc-obvod-kruh-kruznice"    ]};mix
960;146;binaryChoice;;;bc-obsah-obvod-kruh-kruznice-mix;;{    "rs": [        "bc-obsah-kruh",        "bc-obvod-kruh-kruznice",        "bc-obsah-kruh-principy"    ]};mix
961;360;binaryChoice;;;bc-obsah-obvod-vysec-oblouk-mix;;{    "rs": [        "bc-obsah-vysec",        "bc-delka-oblouku"    ]};mix
962;146;writtenAnswer;;;wa-obsah-obvod-kruh-kruznice-mix;;{    "rs": [        "wa-obsah-kruh",        "wa-obvod-kruh-kruznice"    ]};mix
963;360;writtenAnswer;;;wa-obsah-vysec-delka-oblouk-mix;;{    "rs": [        "wa-obsah-vysec",        "wa-delka-oblouku"    ]};mix
964;262;binaryChoice;;;bc-objem-hranate-vypocty-a-principy-mix;;{    "rs": [        "bc-objem-krychle-kvadr",        "bc-objem-krychle-kvadr-principy",        "bc-objem-hranol",        "bc-objem-hranol-principy",        "bc-objem-jehlan",        "bc-objem-jehlan-principy"    ]};mix
965;264;binaryChoice;;;bc-objem-kulate-vypocty-a-principy-mix;;{    "rs": [        "bc-objem-koule",        "bc-objem-koule-principy",        "bc-objem-valec",        "bc-objem-valec-principy",        "bc-objem-kuzel",        "bc-objem-kuzel-principy"    ]};mix
966;364;binaryChoice;;;bc-obsah-ctverce-obdelniky-principy;;;basic
967;361;binaryChoice;;;bc-obsah-trojuhelniky-principy;;;basic
968;368;binaryChoice;;;bc-obsah-lichobezniky-principy;;;basic
969;366;binaryChoice;;;bc-obsah-rovnobezniky-principy;;;basic
970;363;binaryChoice;;;bc-obvod-ctverce-obdelniky-principy;;;basic
971;362;binaryChoice;;;bc-obvod-trojuhelniky-principy;;;basic
972;367;binaryChoice;;;bc-obvod-lichobezniky-principy;;;basic
973;365;binaryChoice;;;bc-obvod-rovnobezniky-principy;;;basic
974;146;binaryChoice;;;bc-obsah-kruh-principy;;;basic
975;146;binaryChoice;;;bc-obvod-kruh-kruznice-principy;;;basic
976;360;binaryChoice;;;bc-obsah-vysec-principy;;;basic
977;360;binaryChoice;;;bc-delka-oblouku-principy;;;basic
978;144;binaryChoice;;;bc-obsah-pravidelne-nuhelniky-principy;;;basic
979;145;binaryChoice;;;bc-obvod-pravidelne-nuhelniky-principy;;;basic
980;350;binaryChoice;;;bc-kruznice-vzajemna-poloha;;;basic
981;385;binaryChoice;;;bc-odhad-ceny-veci;;;basic
982;386;binaryChoice;;;bc-prevody-men;;;basic
983;386;writtenAnswer;;;wa-slovni-prevody-men;;;basic
984;387;binaryChoice;;;bc-sleva-dan-jednoduchy-urok-procenta;;;basic
985;388;writtenAnswer;;;wa-slovni-spolecne-vydaje-a-vyrovnani;;;basic
